i	north	east	parent	distance	visited
158	42.5803	-83.0303	0	95.6172	1
159	33.5722	36.4019	0	67.1505	1
160	-25.8603	28.1894	0	119.24	1
161	47.7972	13.0477	0	44.1737	1
162	14.0833	-87.2167	0	115.629	1
163	35.8561	139.903	0	150.014	1
164	33.0997	-96.6631	0	112.167	1
165	33.535	105.349	0	119.527	1
166	6.16667	6.78333	0	84.1073	1
167	20.3817	-76.6428	0	103.541	1
168	34.8822	136.584	0	147.286	1
169	-18.8508	-41.9489	0	116.654	1
170	6.91667	79.8333	0	115.222	1
171	35.1725	33.365	0	64.1816	1
172	34.8667	117.55	0	129.837	1
173	59.6173	16.5422	0	34.5941	1
174	39.761	126.312	0	135.936	1
175	46.0983	19.67	0	48.1068	1
176	41.6344	32.3375	0	58.1802	1
177	-20.1289	-40.3078	0	117.274	1
178	45.6503	13.7703	0	46.4383	1
179	32.9987	112.529	0	126.143	1
180	52.1503	10.3593	0	39.2418	1
181	10.7792	76.6547	0	110.236	1
182	47.2333	39.7167	0	58.3644	1
183	-22.9009	-47.0573	0	122.315	1
184	42.503	27.4702	0	54.8687	1
185	30.7083	111.28	0	126.09	1
186	31.96	77.1	0	96.5042	1
187	9.08	-79.53	0	113.46	1
188	54.1833	45.1833	0	57.6573	1
189	51.5072	-0.1275	0	38.493	1
190	60.7172	-135.056	0	138.194	1
191	19.4833	-99.2333	0	121.737	1
192	47.6062	-122.332	0	129.47	1
193	15.17	77.38	0	107.644	1
194	43.6833	-79.7667	0	92.2386	1
195	34.9667	137.083	0	147.718	1
196	41.6781	26.5594	0	55.14	1
197	47.9633	-122.201	0	129.229	1
198	47.3398	123.951	0	131.087	1
199	33.6458	130.691	0	142.324	1
200	45.768	131.006	0	138.272	1
201	16.0694	108.21	0	131.054	1
202	36.7831	118.05	0	129.49	1
203	-23.5228	-46.8358	0	122.805	1
204	50.3	19.1667	0	44.0846	1
205	34.7569	134.841	0	145.719	1
206	55.4	10.3833	0	36.1244	1
207	26.2458	127.722	0	142.75	1
208	-22.6619	-50.4119	0	123.426	1
209	34.1914	-119.183	0	131.602	1
210	5.18	97.1506	0	128.968	1
211	-34.65	-58.5667	0	137.723	1
212	26.2442	68.41	0	93.5133	1
213	26.0125	-80.3136	0	102.687	1
214	29.61	52.5425	0	80.0479	1
215	28.4	69.3	0	92.7203	1
216	26.8968	112.586	0	129.064	1
217	44.2333	-76.5	0	89.145	1
218	37.2242	67.2783	0	85.5083	1
219	35.7581	139.53	0	149.702	1
220	43.2114	27.9111	0	54.4812	1
221	22.8	86.1833	0	109.286	1
222	41.6667	-83.5833	0	96.552	1
223	2.96	99.06	0	131.867	1
224	4.75	7	0	85.5369	1
225	18.8814	-99.1778	0	122.041	1
226	33.5097	126.522	0	138.56	1
227	33.5033	-117.124	0	130.038	1
228	34.5809	105.731	0	119.375	1
229	47.3851	9.2786	0	43.6133	1
230	33.6	130.417	0	142.09	1
231	26.5606	31.6917	0	70.9149	1
232	25.6642	-100.402	0	119.246	1
233	46.6384	126.981	0	134.18	1
234	30.0372	121.155	0	135.181	1
235	-20.8489	-41.1128	0	118.227	1
236	44.8015	10.328	0	46.3635	1
237	19.4211	-102.063	0	124.09	1
238	48.3984	9.99155	0	42.7846	1
239	-32.9167	151.75	0	195.286	1
240	30.8695	120.096	0	133.863	1
241	45.1047	24.3756	0	51.0857	1
242	46.9903	6.93056	0	43.5645	1
